
        300K IR Filter 1 ( 1/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
                  Window ( 1/ 1): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
        300K IR Filter 1 ( 4/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
             Front Plate ( 1/ 1): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
        300K IR Filter 1 ( 2/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
        300K IR Filter 1 ( 3/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
            Window Clamp ( 1/ 1): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
      Incident Radiation ( 1/ 1): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
        300K IR Filter 1 ( 9/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
        300K IR Filter 1 (10/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
        300K IR Filter 1 ( 6/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
        300K IR Filter 1 ( 8/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
        300K IR Filter 1 ( 7/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
        300K IR Filter 1 ( 5/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
    300K IR Filter Gap 1 ( 1/ 1): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
  300K IR Filter Clamp 1 ( 1/ 1): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
      80K DS IR Filter 1 ( 4/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
      80K DS IR Filter 1 ( 5/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
      80K DS IR Filter 1 ( 3/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
      80K DS IR Filter 1 ( 1/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
               80K Plate ( 1/ 1): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
      80K DS IR Filter 1 ( 2/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
      80K DS IR Filter 1 ( 6/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
      80K DS IR Filter 1 ( 7/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
      80K DS IR Filter 1 ( 8/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
      80K DS IR Filter 1 ( 9/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
      80K Al IR Filter 2 ( 1/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
80K DS IR Filter Clamp 1 ( 1/ 1): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
      80K Al IR Filter 2 ( 2/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
      80K Al IR Filter 2 ( 3/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
     80K IR Filter Gap 1 ( 1/ 1): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
      80K Al IR Filter 2 ( 4/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
      80K Al IR Filter 2 ( 5/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
      80K Al IR Filter 2 ( 7/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
      80K Al IR Filter 2 ( 9/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
      80K Al IR Filter 2 ( 8/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
80K Al IR Filter Clamp 2 ( 1/ 1): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
      80K DS IR Filter 1 (10/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
     40K DS IR Blocker 1 ( 1/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
     80K IR Filter Gap 2 ( 1/ 1): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
     40K DS IR Blocker 1 ( 3/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
     40K DS IR Blocker 1 ( 5/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
     40K DS IR Blocker 1 ( 4/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
      80K Al IR Filter 2 (10/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
     40K DS IR Blocker 1 ( 7/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
      80K Al IR Filter 2 ( 6/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
     40K DS IR Blocker 1 ( 9/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
     40K DS IR Blocker 1 ( 8/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
     40K DS IR Blocker 1 ( 1/ 1): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
       4K DS IR Filter 1 ( 1/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
     40K DS IR Blocker 1 ( 6/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
        40K Filter Gap 1 ( 1/ 1): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
       4K DS IR Filter 1 ( 3/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
     40K DS IR Blocker 1 ( 2/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
       4K DS IR Filter 1 ( 5/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
       4K DS IR Filter 1 ( 4/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
       4K DS IR Filter 1 ( 7/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
       4K DS IR Filter 1 ( 9/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
       4K DS IR Filter 1 ( 8/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
       4K DS IR Filter 1 ( 2/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
 4K DS IR Filter Clamp 1 ( 1/ 1): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
     40K DS IR Blocker 1 (10/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
    4K Low Pass Filter 1 ( 1/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
         4K Filter Gap 1 ( 1/ 1): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
    4K Low Pass Filter 1 ( 3/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
    4K Low Pass Filter 1 ( 5/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
    4K Low Pass Filter 1 ( 4/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
       4K DS IR Filter 1 (10/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
    4K Low Pass Filter 1 ( 7/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
       4K DS IR Filter 1 ( 6/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
    4K Low Pass Filter 1 ( 9/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
          1K LP Filter 1 ( 1/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
